This is for Time Step h = 0.1
x	y (Euler)	y (midpoint)	y (RK44)	EXACT		%Err(E)		%Err(M)		%Err(RK4)
----	----------	----------	----------	----------	-------		-------		------
0	0	0	0	0	-nan(ind)%	-nan(ind)%	-nan(ind)%
1.8	2.661568066	1.0964239	1.013619327	1.013647908	1.625732311%	0.08166148266%	2.819623007e-05%
1.9	1.756533063	-0.1106615176	-0.1943761998	-0.1943189781	-10.03943136%	-0.4305161614%	-0.0002944731163%
2	0.6527034805	-1.399996434	-1.478886739	-1.4788027	-1.44137293%	-0.05329058845%	-5.682896515e-05%
2.1	-0.3485024816	-2.443310353	-2.513966496	-2.513863572	-0.8613677825%	-0.02806565172%	-4.094252635e-05%
2.2	-0.9371188681	-2.941602204	-3.004245902	-3.004136603	-0.6880571718%	-0.02081609688%	-3.638305117e-05%
2.3	-0.873976159	-2.70594543	-2.764948334	-2.764846851	-0.6838970814%	-0.02130368285%	-3.670462518e-05%
2.4	-0.05994660124	-1.71816828	-1.781566264	-1.781484825	-0.9663502038%	-0.03554144523%	-4.571388345e-05%
2.5	1.423979884	-0.1535146925	-0.2315408363	-0.2314861673	-7.151468576%	-0.336829953%	-0.0002361651758%
2.6	3.319281279	1.644605198	1.54168834	1.541717508	1.152976315%	0.06673576%	1.891944059e-05%
2.7	5.238969258	3.236248676	3.100524943	3.100538568	0.6896965293%	0.04376985006%	4.394578187e-06%
2.8	6.755270333	4.189210793	4.01709566	4.017110916	0.6816240512%	0.04284170404%	3.797747127e-06%
2.9	7.507190201	4.192252154	3.985526889	3.985564681	0.8835951243%	0.05185901848%	9.482350076e-06%
3	7.302089591	3.148785464	2.914307734	2.914387906	1.505531119%	0.08042771451%	2.750900776e-05%
3.1	6.184236647	1.224605964	0.972629052	0.9727653848	5.357377373%	0.2588913869%	0.0001401497355%
3.2	4.449044884	-1.167577779	-1.426190757	-1.425994463	-4.11995944%	-0.181218574%	-0.0001376547392%
3.3	2.593589867	-3.449436793	-3.706500293	-3.706251919	-1.699787797%	-0.06929240964%	-6.701475802e-05%
3.4	1.209577795	-5.009923054	-5.262921367	-5.262639293	-1.229842428%	-0.04802081711%	-5.359934106e-05%
3.5	0.8405527212	-5.360649903	-5.614631006	-5.614340022	-1.149715321%	-0.0451860981%	-5.182867545e-05%
3.6	1.836719894	-4.275713547	-4.543483006	-4.543208093	-1.404278179%	-0.05887789869%	-6.051069622e-05%
3.7	4.244893938	-1.877962749	-2.178355567	-2.178114923	-2.948884282%	-0.1378036444%	-0.0001104825062%
3.8	7.765893459	1.356347703	1.001862248	1.002063203	6.749903833%	0.3535550443%	0.0002005410875%
3.9	11.797567	4.68431418	4.255978576	4.256150562	1.771886668%	0.1005987951%	4.040879313e-05%
4	15.56128357	7.261608412	6.745634215	6.745803673	1.306809437%	0.07646305237%	2.512055754e-05%
4.1	18.28779237	8.351461123	7.743070647	7.743275262	1.361764466%	0.0785437481%	2.642482312e-05%
4.2	19.42038688	7.527669226	6.8319912	6.832272103	1.842449274%	0.1017812396%	4.111401772e-05%
4.3	18.78438686	4.818214028	4.048561713	4.048954056	3.639318352%	0.1899898%	9.689982401e-05%
4.4	16.67534928	0.745902688	-0.0804073784	-0.07988318583	-209.7466732%	-10.33741788%	-0.00656198869%
4.5	13.83454839	-3.755363171	-4.622839038	-4.62218308	-3.993076681%	-0.1875347416%	-0.0001419150229%
4.6	11.30627052	-7.53999892	-8.441122943	-8.440356708	-2.339548897%	-0.1066729546%	-9.078221932e-05%
4.7	10.20162853	-9.526142511	-10.46629701	-10.4654587	-1.974790387%	-0.08975394307%	-8.010262568e-05%
4.8	11.42050818	-8.98343453	-9.983215155	-9.982350011	-2.1440701%	-0.1000681683%	-8.666736559e-05%
4.9	15.3995765	-5.75964435	-6.853708459	-6.852856091	-3.247176403%	-0.1595264408%	-0.0001243813976%
5	21.95465336	-0.3807817504	-1.613192731	-1.612374396	-14.61634954%	-0.7638378833%	-0.0005075336751%
5.1	30.26839856	6.014645055	4.597706732	4.598497604	5.582236452%	0.3079587233%	0.0001719848024%
5.2	39.04184528	11.90757696	10.26608596	10.26688721	2.802695449%	0.1598040104%	7.804289716e-05%
5.3	46.78766159	15.75373022	13.86098924	13.86186593	2.375278756%	0.1364797716%	6.324428099e-05%
5.4	52.20384861	16.38289019	14.22958423	14.23061724	2.66841773%	0.1512424168%	7.259102788e-05%
5.5	54.53922906	13.34297777	10.93668465	10.93795441	3.986236639%	0.2198787142%	0.0001160875608%
5.6	53.8548974	7.093621803	4.453381201	4.454949997	11.08877708%	0.592301105%	0.0003521467627%
5.7	51.10278291	-1.016917323	-3.870136268	-3.868238693	-14.21086597%	-0.7371110205%	-0.0004905526989%
5.8	47.98174569	-9.00825224	-12.06319514	-12.06097868	-4.978263037%	-0.2531076892%	-0.0001837709738%
5.9	46.58531604	-14.71564969	-17.98179125	-17.97930254	-3.591052458%	-0.1815227733%	-0.000138420457%
6	48.91085718	-16.33276767	-19.84783646	-19.84514567	-3.464625758%	-0.1769892778%	-0.0001355897184%
6.1	56.34331178	-12.91820728	-16.74997531	-16.74715483	-4.364351279%	-0.2286327193%	-0.0001684156344%
6.2	69.24521405	-4.730353493	-8.971708122	-8.968807967	-8.72067083%	-0.4725772353%	-0.00032336013%
6.3	86.770879	6.71462731	1.956659048	1.959633321	43.27914042%	2.426471288%	0.001517770368%
6.4	106.976805	18.90583913	13.52479088	13.52789171	6.9078697%	0.3975451265%	0.000229217149%
6.5	127.2308958	28.88713582	22.79198022	22.79531867	4.581448438%	0.2672398331%	0.0001464532088%
6.6	144.845701	33.9802905	27.1065171	27.11024922	4.342839154%	0.2534112183%	0.0001376643463%
6.7	157.7947748	32.51209943	24.82557044	24.82987139	5.355037942%	0.3093945963%	0.0001732169398%
6.8	165.3348427	24.35679009	15.84845493	15.85348654	9.4289263%	0.5363680431%	0.0003173818832%
6.9	168.3623304	11.13329012	1.804998656	1.810878113	91.97275677%	5.148006341%	0.003246743524%
7	169.3838706	-4.030216515	-14.18624083	-14.17946262	-12.94571861%	-0.7157708566%	-0.0004780298234%
7.1	172.0681429	-17.14871549	-28.17228344	-28.16462716	-7.109370519%	-0.3911257767%	-0.000271840161%
7.2	180.4518537	-24.32396089	-36.30581142	-36.29735499	-5.971487694%	-0.3298696037%	-0.0002329763016%
7.3	197.9702842	-22.76449392	-35.85664997	-35.84749611	-6.522569376%	-0.3649627898%	-0.0002553556773%
7.4	226.5464061	-11.62486987	-26.03915079	-26.02938275	-9.703487451%	-0.5533943319%	-0.0003752698333%
7.5	265.9819834	7.573163658	-8.420983343	-8.410618979	-32.62454322%	-1.900428812%	-0.001232295027%
7.6	313.8412016	31.09105003	13.23698217	13.24802651	22.68965681%	1.346843886%	0.0008336594247%
7.7	365.909382	53.7164146	33.72789984	33.73982544	9.845028901%	0.5920774308%	0.0003534575872%
7.8	417.1685434	69.96783884	47.60073669	47.61385252	7.761495266%	0.4694849321%	0.0002754623663%
7.9	463.0911121	75.49676734	50.551947	50.56663391	8.158037154%	0.4930154828%	0.0002904465917%
8	500.9495217	68.3428104	40.66514418	40.68180013	11.31384846%	0.6799357497%	0.0004094201325%
8.1	530.8035916	49.70067888	19.16044889	19.17942782	26.67567399%	1.591353577%	0.0009895459979%
8.2	555.8758684	23.94803368	-9.592897427	-9.571337455	-59.07713614%	-3.502057188%	-0.002252555858%
8.3	582.1538542	-2.150655369	-38.88141649	-38.85714093	-15.9819014%	-0.9446522488%	-0.0006247387297%
8.4	617.2422193	-20.94381739	-61.14646828	-61.11945935	-11.09894763%	-0.6573297995%	-0.0004419038995%
8.5	668.6856376	-25.78002003	-69.86074193	-69.83105503	-10.57576307%	-0.630822991%	-0.0004251245702%
8.6	742.143842	-12.83269433	-61.33393679	-61.30162694	-13.10642978%	-0.7906630709%	-0.0005270636376%
8.7	839.8791755	17.61878775	-35.97067969	-35.93571326	-24.37171296%	-1.490286296%	-0.0009730272693%
8.8	959.984196	60.84206991	1.404009713	1.441837177	664.8062446%	41.19760101%	0.02623560032%
8.9	1096.629577	108.4273937	42.33439851	42.37551737	24.87884809%	1.558727312%	0.0009703449128%
9	1241.37688	150.1023432	76.55081616	76.59589429	15.20683317%	0.9596656535%	0.0005885189537%
9.1	1385.328763	176.2233273	94.44915487	94.49905918	13.65970958%	0.8648156796%	0.0005280931844%
9.2	1521.647688	180.3673069	89.65808285	89.71379662	15.96113357%	1.010474572%	0.00062101675%
9.3	1647.829303	161.3606021	61.03567726	61.09819136	25.97018139%	1.641004562%	0.001023174299%
9.4	1767.116099	124.1582495	13.51631062	13.58651544	129.0639673%	8.138343827%	0.005167242318%
9.5	1888.596144	79.22459545	-42.53333378	-42.45472598	-45.48494485%	-2.866096026%	-0.001851567722%
9.6	2025.825999	40.4187988	-93.43846738	-93.35094466	-22.70118371%	-1.432976859%	-0.0009375664877%
9.7	2194.184043	21.77807556	-125.4239703	-125.3271744	-18.50764791%	-1.17376978%	-0.0007723456691%
9.8	2407.512568	33.91946812	-128.1856199	-128.0792336	-19.79705632%	-1.26483191%	-0.0008306290305%
9.9	2674.851039	80.95594681	-97.93441991	-97.81800842	-28.34517992%	-1.827618024%	-0.001190082407%
10	2998.124017	158.7831645	-39.0670402	-38.93988091	-77.9936617%	-5.07764895%	-0.003265528656%

This is for Time Step h = 0.05
x	y (Euler)	y (midpoint)	y (RK44)	EXACT		%Err(E)		%Err(M)		%Err(RK4)
----	----------	----------	----------	----------	-------		-------		------
0	0	0	0	0	-nan(ind)%	-nan(ind)%	-nan(ind)%
0.05	0.25	0.2542634207	0.2536673029	0.2536670203	0.01445603885%	0.002351115105%	1.114187428e-06%
0.1	0.5045184636	0.5053542133	0.5040067498	0.5040062116	0.001016360498%	0.002674573641%	1.067901556e-06%
0.15	0.747788527	0.7369503369	0.7347283638	0.7347276161	0.01777653466%	0.003025231133%	1.017722932e-06%
0.2	0.9639787217	0.933148591	0.9299701549	0.9299692608	0.03657052157%	0.003418747643%	9.614104962e-07%
0.25	1.138210025	1.079510119	1.075341417	1.075340453	0.05846480669%	0.003877530795%	8.957575187e-07%
0.3	1.257563777	1.164065228	1.158924778	1.158923832	0.0851133972%	0.004436353194%	8.157876798e-07%
0.35	1.312015096	1.178210736	1.172170372	1.172169536	0.1193048914%	0.00515386183%	7.131079371e-07%
0.4	1.295227877	1.117436565	1.110619021	1.110618385	0.1662222547%	0.006139084222%	5.721151696e-07%
0.45	1.205153088	0.9818260244	0.9743990899	0.9743987393	0.2368171666%	0.007622428846%	3.598351365e-07%
0.5	1.044381749	0.7762859871	0.7684534381	0.7684534442	0.3590696448%	0.01019260561%	7.983792894e-09%
0.55	0.8202173097	0.510478273	0.5024679861	0.5024684034	0.6323758948%	0.0159410412%	8.306507266e-07%
0.6	0.5444483565	0.1984413474	0.1904912245	0.1904920858	1.85811536%	0.04173014074%	4.521385878e-06%
0.65	0.2328209494	-0.1420891872	-0.1497466949	-0.1497453819	-2.554778828%	-0.05112808572%	-8.767791024e-06%
0.7	-0.09577085301	-0.4906329956	-0.4977868407	-0.497785095	-0.8076060252%	-0.01436784559%	-3.506950735e-06%
0.75	-0.4203385922	-0.8251429769	-0.8316189446	-0.8316168117	-0.4945525556%	-0.007784636706%	-2.564821176e-06%
0.8	-0.7190418065	-1.123344509	-1.129019103	-1.129016654	-0.3631255977%	-0.005023969017%	-2.169746835e-06%
0.85	-0.9705489048	-1.364158006	-1.368969822	-1.368967148	-0.2910356496%	-0.003512971136%	-1.953518523e-06%
0.9	-1.155434959	-1.529117461	-1.533075185	-1.533072395	-0.2463272037%	-0.002579744043%	-1.819980338e-06%
0.95	-1.257528302	-1.603693429	-1.606879779	-1.606876992	-0.2174084833%	-0.001981211667%	-1.734347093e-06%
1	-1.265116594	-1.578430362	-1.58100151	-1.580998849	-0.1997991682%	-0.001624597093%	-1.683344898e-06%
1.05	-1.171927482	-1.449815551	-1.451995833	-1.451993415	-0.1928837482%	-0.001499912633%	-1.665551596e-06%
1.1	-0.9778091647	-1.220809948	-1.222881969	-1.222879899	-0.2004045811%	-0.001692685055%	-1.693223622e-06%
1.15	-0.6890516192	-0.9009893713	-0.9032799032	-0.9032782648	-0.2371657261%	-0.002533984931%	-1.813788887e-06%
1.2	-0.3183094101	-0.5062670139	-0.5091293809	-0.5091282324	-0.3747952091%	-0.005619838522%	-2.255874702e-06%
1.25	0.115889408	-0.05819365671	-0.0619875705	-0.06198693719	-2.869577902%	-0.06119483636%	-1.021684062e-05%
1.3	0.5900378856	0.4171410032	0.412070992	0.4120711203	0.4318836155%	0.01230341714%	3.114754092e-07%
1.35	1.076911369	0.8905556181	0.8839017309	0.8839014015	0.2183614231%	0.007528233986%	3.72599209e-07%
1.4	1.54713288	1.331497733	1.323009246	1.323008542	0.1694050575%	0.006416580912%	5.318887147e-07%
1.45	1.970957487	1.709940834	1.699441651	1.699440689	0.1597683285%	0.006178588682%	5.660338079e-07%
1.5	2.32017202	1.998344793	1.985747043	1.985745966	0.1684133112%	0.00634463147%	5.423093225e-07%
1.55	2.569993715	2.173556741	2.158869309	2.15886828	0.1904356275%	0.006803778479%	4.766096151e-07%
1.6	2.700845498	2.218526904	2.201858079	2.201857271	0.2266215133%	0.007570714585%	3.66837565e-07%
1.65	2.699887271	2.123719435	2.105273215	2.105272801	0.2824405791%	0.008762111051%	1.962921178e-07%
1.7	2.562192114	1.888111775	1.868177716	1.868177859	0.3714926025%	0.0106702452%	7.687032955e-08%
1.75	2.29147346	1.519697072	1.498634017	1.498634858	0.529040545%	0.01405426681%	5.613358082e-07%
1.8	1.900293407	1.035431857	1.01364626	1.013647908	0.8747075699%	0.02149064577%	1.625975435e-06%
1.85	1.409712173	0.4606038782	0.4385238494	0.438526374	2.214657673%	0.05034475808%	5.756980965e-06%
1.9	0.8483726137	-0.1723689048	-0.1943224026	-0.1943189781	-5.365876262%	-0.1129589787%	-1.762316115e-05%
1.95	0.2510497998	-0.8256600247	-0.8471031079	-0.8470988094	-1.296364246%	-0.02530848173%	-5.074309242e-06%
2	-0.3432683665	-1.458192723	-1.478807796	-1.4788027	-0.7678741278%	-0.01393693472%	-3.446280947e-06%
2.05	-0.8936699399	-2.028118105	-2.047680431	-2.04767466	-0.5635683943%	-0.009550616214%	-2.818329112e-06%
2.1	-1.359848676	-2.49547006	-2.513869853	-2.513863572	-0.4590602725%	-0.007316829736%	-2.498560972e-06%
2.15	-1.704724179	-2.824835065	-2.842093461	-2.842086867	-0.4001857583%	-0.006070117662%	-2.320121657e-06%
2.2	-1.896988366	-2.987865722	-3.004143292	-3.004136603	-0.3685412425%	-0.005416158782%	-2.226561501e-06%
2.25	-1.913410487	-2.965468175	-2.981065059	-2.9810585	-0.3581439323%	-0.005229795287%	-2.199970716e-06%
2.3	-1.740739873	-2.749505829	-2.76485306	-2.764846851	-0.3704027864%	-0.005548597455%	-2.245745693e-06%
2.35	-1.37706328	-2.343884878	-2.359527014	-2.35952135	-0.4163802416%	-0.00662696759%	-2.400348058e-06%
2.4	-0.8325014133	-1.764920047	-1.781489784	-1.781484825	-0.5326923915%	-0.009298299001%	-2.783202371e-06%
2.45	-0.1291659111	-1.040920081	-1.059106098	-1.059101956	-0.8780420427%	-0.01716725635%	-3.910836974e-06%
2.5	0.6996583931	-0.2109796923	-0.2314894417	-0.2314861673	-4.022463075%	-0.08858617889%	-1.41447671e-05%
2.55	1.611093016	0.6769849638	0.6534653589	0.6534677806	1.465451341%	0.03598828275%	3.705888774e-06%
2.6	2.554944548	1.568869551	1.541715854	1.541717508	0.6572066769%	0.01761155546%	1.072563516e-06%
2.65	3.476571701	2.407548299	2.37623657	2.376237608	0.4630572671%	0.01317658253%	4.369993875e-07%
2.7	4.320186256	3.136397668	3.100537929	3.100538568	0.3933663978%	0.01156544239%	2.060679337e-07%
2.75	5.032397643	3.702968361	3.662331097	3.662331605	0.3740966645%	0.01109586998%	1.387085608e-07%
2.8	5.565785425	4.062576825	4.017110231	4.017110916	0.3855194793%	0.01131806157%	1.704630925e-07%
2.85	5.882271114	4.181580883	4.131417254	4.131418445	0.4237897206%	0.01214169863%	2.883826982e-07%
2.9	5.956061962	4.040112365	3.98556265	3.985564681	0.4944085565%	0.01368631247%	5.095834121e-07%
2.95	5.775955245	3.634062953	3.575599205	3.575602391	0.6153796237%	0.0163498498%	8.910642029e-07%
3	5.346821915	2.976157085	2.914383287	2.914387906	0.8346294618%	0.02119456331%	1.584981045e-06%
3.05	4.690132059	2.09599602	2.031608566	2.03161484	1.30857344%	0.03168965851%	3.088264849e-06%
3.1	3.843439223	1.03901749	0.9727573063	0.9727653848	2.951044397%	0.06810697286%	8.304673033e-06%
3.15	2.858803471	-0.1356176863	-0.2030187374	-0.2030087897	-15.08216598%	-0.3319615049%	-4.900159476e-05%
3.2	1.800200345	-1.358130952	-1.426006253	-1.425994463	-2.262417486%	-0.04759030426%	-8.268023241e-06%
3.25	0.7400306093	-2.552074226	-2.619877704	-2.619864192	-1.282469073%	-0.02587537397%	-5.157611795e-06%
3.3	-0.2450905459	-3.638909978	-3.706266944	-3.706251919	-0.9338710505%	-0.01816982285%	-4.053926685e-06%
3.35	-1.079030602	-4.542960645	-4.609710685	-4.609694436	-0.7659214472%	-0.01447683613%	-3.52501759e-06%
3.4	-1.691045555	-5.19642763	-5.262656416	-5.262639293	-0.6786696825%	-0.01258145579%	-3.253617252e-06%
3.45	-2.02058926	-5.544160275	-5.610217695	-5.610200092	-0.6398365073%	-0.01177138338%	-3.137704384e-06%
3.5	-2.021711615	-5.547854927	-5.614357696	-5.614340022	-0.6399021777%	-0.01184201425%	-3.147986987e-06%
3.55	-1.666741246	-5.189384472	-5.257202295	-5.25718495	-0.6829593667%	-0.01289672676%	-3.299303281e-06%
3.6	-0.948978808	-4.472999391	-4.543224748	-4.543208093	-0.7911214304%	-0.015453552%	-3.665922477e-06%
3.65	0.1158232789	-3.42620074	-3.500103436	-3.500087766	-1.033091536%	-0.02111004966%	-4.476856931e-06%
3.7	1.489352252	-2.099160749	-2.178129401	-2.178114923	-1.683780381%	-0.0362488562%	-6.647043655e-06%
3.75	3.112074928	-0.5626538816	-0.6481274903	-0.6481142994	-5.801737796%	-0.1318601023%	-2.035271594e-05%
3.8	4.906014192	1.095444793	1.002051271	1.002063203	3.895912929%	0.09318932128%	1.190739555e-05%
3.85	6.778856999	2.774941911	2.67231345	2.672324282	1.536689519%	0.03840014079%	4.053453251e-06%
3.9	8.629197728	4.369146534	4.256140541	4.256150562	1.027465336%	0.02654886617%	2.354534926e-06%
3.95	10.35263755	5.771407722	5.647118267	5.647127887	0.8332571454%	0.02200761838%	1.70348479e-06%
4	11.84839105	6.881984775	6.745793942	6.745803673	0.7564091139%	0.02018752821%	1.442498878e-06%
4.05	13.02600082	7.614824801	7.466437151	7.466447584	0.744604871%	0.01987253183%	1.397254046e-06%
4.1	13.81173327	7.903806487	7.74326349	7.743275262	0.7837068684%	0.02073169558%	1.520305861e-06%
4.15	14.15422757	7.708020641	7.53569307	7.535706832	0.8782879809%	0.02286631011%	1.826163622e-06%
4.2	14.02899591	7.015698127	6.832255728	6.832272103	1.05334268%	0.02684700217%	2.396604652e-06%
4.25	13.44142635	5.846462916	5.652822069	5.652841616	1.377817612%	0.03425202988%	3.457820576e-06%
4.3	12.4280184	4.251679319	4.048930878	4.048954056	2.069439225%	0.05006855096%	5.724564181e-06%
4.35	11.05568119	2.312773321	2.102094199	2.102121338	4.259297354%	0.1002092407%	1.29106153e-05%
4.4	9.419040251	0.1375322513	-0.07991446156	-0.07988318583	-118.9101729%	-2.72166708%	-0.0003915182932%
4.45	7.635824354	-2.145482611	-2.368653215	-2.368617797	-4.223746931%	-0.0942048087%	-1.495278764e-05%
4.5	5.840531147	-4.39414745	-4.622222472	-4.62218308	-2.26358715%	-0.04933504946%	-8.522182187e-06%
4.55	4.176691349	-6.461230286	-6.693711864	-6.693668834	-1.623976395%	-0.0347251342%	-6.428404658e-06%
4.6	2.788157925	-8.203607642	-8.440402892	-8.440356708	-1.330336504%	-0.02804965179%	-5.471802493e-06%
4.65	1.809931299	-9.491689123	-9.733173489	-9.733124755	-1.185955831%	-0.02480556232%	-5.007012701e-06%
4.7	1.359087738	-10.21845372	-10.46550929	-10.4654587	-1.129864135%	-0.02360192527%	-4.834700938e-06%
4.75	1.526400523	-10.30749608	-10.56152123	-10.56146949	-1.144525392%	-0.02404716542%	-4.898771196e-06%
4.8	2.369229102	-9.719513871	-9.982402182	-9.982350011	-1.237341818%	-0.02633008654%	-5.226328386e-06%
4.85	3.906199311	-8.456738577	-8.730827055	-8.730775092	-1.447405788%	-0.03138742116%	-5.951722039e-06%
4.9	6.114109241	-6.564919029	-6.852907324	-6.852856091	-1.892198692%	-0.04201708875%	-7.476200733e-06%
4.95	8.927374309	-4.132604396	-4.437448981	-4.437398833	-3.011848528%	-0.06868763636%	-1.130102409e-05%
5	12.24017767	-1.287634403	-1.612423305	-1.612374396	-8.591399182%	-0.2014048314%	-3.033356981e-05%
5.05	15.91132648	1.809080465	1.46126515	1.461312902	9.888377474%	0.2379829551%	3.267721784e-05%
5.1	19.77164026	4.972227204	4.598450682	4.598497604	3.299586943%	0.08127210923%	1.020384883e-05%
5.15	23.6335257	8.002774394	7.600385352	7.600432021	2.109497676%	0.05293677685%	6.140310022e-06%
5.2	27.30223391	10.70008756	10.26683999	10.26688721	1.659251372%	0.04219393284%	4.599641311e-06%
5.25	30.58816149	12.87476909	12.408921	12.40896979	1.465004107%	0.03753730657%	3.931771578e-06%
5.3	33.31945761	14.36143308	13.86181441	13.86186593	1.403677671%	0.03603895389%	3.716813362e-06%
5.35	35.35414092	15.03058921	14.4966328	14.49668833	1.43877361%	0.03682916175%	3.830041125e-06%
5.4	36.59092159	14.79882484	14.23055642	14.23061724	1.571281411%	0.0399285282%	4.274403431e-06%
5.45	36.97796546	13.63654238	13.03452779	13.03459519	1.836909387%	0.04618073492%	5.170879709e-06%
5.5	36.5189309	11.57262834	10.93787928	10.93795441	2.33873497%	0.05802491973%	6.869236202e-06%
5.55	35.27575016	8.695596334	8.029437999	8.029521858	3.393256633%	0.08295319296%	1.044382813e-05%
5.6	33.36780972	5.150949408	4.454856659	4.454949997	6.490052581%	0.1562305775%	2.095160479e-05%
5.65	30.96739809	1.134737871	0.4101484658	0.4102517605	74.48388837%	1.76595491%	0.0002517835682%
5.7	28.2915234	-3.116467668	-3.868352112	-3.868238693	-8.313799805%	-0.1943445286%	-2.932055017e-05%
5.75	25.59044181	-7.338726205	-8.117139609	-8.117016218	-4.152690733%	-0.09588375722%	-1.520154846e-05%
5.8	23.13346749	-11.25631255	-12.06111159	-12.06097868	-2.918042316%	-0.06671648723%	-1.101915257e-05%
5.85	21.19283876	-14.59886117	-15.43068788	-15.43054621	-2.373434127%	-0.053898613%	-9.181265397e-06%
5.9	20.02658032	-17.11904357	-17.97945202	-17.97930254	-2.113868587%	-0.04784718249%	-8.31371879e-06%
5.95	19.8614141	-18.60966839	-19.50120557	-19.50104942	-2.018479246%	-0.04570938757%	-8.00744496e-06%
6	20.87682219	-18.91907341	-19.8453073	-19.84514567	-2.051986342%	-0.04666492604%	-8.144849178e-06%
6.05	23.19134774	-17.96373094	-18.92922145	-18.92905551	-2.225171944%	-0.05099697512%	-8.766604695e-06%
6.1	26.8521314	-15.73711183	-16.74732403	-16.74715483	-2.603384674%	-0.06031131925%	-1.010311746e-05%
6.15	31.82852352	-12.31404576	-13.37520831	-13.37503669	-3.379696164%	-0.0793262071%	-1.283132598e-05%
6.2	38.01039319	-7.850065863	-8.968981482	-8.968807967	-5.238065229%	-0.1247369893%	-1.934650882e-05%
6.25	45.21148462	-2.575522885	-3.759340936	-3.759165667	-13.02699977%	-0.3148684806%	-4.66246421e-05%
6.3	53.17786423	3.215420393	1.959455997	1.959633321	26.13664013%	0.6408275762%	9.048823339e-05%
6.35	61.60117646	9.180468342	7.845280496	7.845460646	6.851824035%	0.1701630734%	2.296227024e-05%
6.4	70.13610231	14.94877533	13.52770748	13.52789171	4.184555274%	0.1050336338%	1.361811916e-05%
6.45	78.42111258	20.14337148	18.63041652	18.63060652	3.209262457%	0.08119783753%	1.019834348e-05%
6.5	86.10134974	24.40513306	22.79512079	22.79531867	2.77715052%	0.0706203944%	8.680741544e-06%
6.55	92.85227505	27.4168334	25.7055618	25.70576998	2.612118024%	0.06656339906%	8.0986322e-06%
6.6	98.40259862	28.92572975	27.11002809	27.11024922	2.629719441%	0.06696657479%	8.156431739e-06%
6.65	102.5549804	28.76315668	26.84087234	26.84110914	2.820817532%	0.0716083498%	8.822357221e-06%
6.7	105.203056	26.85971107	24.82961621	24.82987139	3.236955335%	0.08174990715%	1.027736227e-05%
6.75	106.3435041	23.25482482	21.11644416	21.11672026	4.035985832%	0.1012517346%	1.307533836e-05%
6.8	106.0821246	18.09982119	15.85318726	15.85348654	5.691406611%	0.1416934154%	1.887768712e-05%
6.85	104.6332326	11.65392403	9.299271028	9.299595315	10.25137482%	0.2531646411%	3.487111822e-05%
6.9	102.3120626	4.273115388	1.810527469	1.810878113	55.49859142%	1.359692437%	0.0001936321178%
6.95	99.52031935	-3.607807409	-6.178774036	-6.178396242	-17.10779164%	-0.4160608567%	-6.114751987e-05%
7	96.72545159	-11.49916877	-14.17986778	-14.17946262	-7.821517442%	-0.1890264763%	-2.857351219e-05%
7.05	94.43466678	-18.88511169	-21.67816925	-21.67773708	-5.356297266%	-0.1288245807%	-1.993613801e-05%
